words,user_location
['happy'],North Carolina
['happy'],Wampanoag land
['happy'],Pretoria
['happy'],21:21
['happy'],21:21
['happy'],
['happy'],"Nairobi, Kenya"
['happy'],
['happy'],
['happy'],"Banswara, India"
['happy'],"Jayaprakash Nagar, Berhampur"
['happy'],Hyderabad
['happy'],
['happy'],
['happy'],"Mumbai, India"
"['happy', 'remember']",South Africa
"['happy', 'organic']",canada
"['happy', 'weekend']","Lagos, Nigeria"
"['happy', 'people']",#selfharm #survivor
"['happy', 'different']",Kenya
['happy'],"New York, NY"
"['happy', 'summer']",Anywhere
"['happy', 'day']","Portland, Oregon"
"['happy', 'day']","Portland, Oregon"
"['happy', 'birthday']","Gangapur Cantonment Area, Gang"
"['happy', 'via']","Cape Town, South Africa"
"['happy', 'design']",
"['happy', 'birthday']",Singapore
"['first', 'happy']",
"['make', 'happy']",Green Land 
"['purpose', 'happy']",
"['achieve', 'happy']",
"['family', 'happy']","Indore, India"
"['happy', 'design']",
"['real', 'happy']",Kilcar
"['happy', 'day']","Portland, Oregon"
"['happy', 'pharmacy']","Junagadh,india"
"['wishing', 'happy']",
"['wishing', 'happy']","Andhra Pradesh, India"
"['wish', 'happy']",Hyderabad
"['wishing', 'happy']",Hyderabad
"['wishing', 'happy']","Mumbai, India"
"['happy', 'beginning']",New York City
"['everyone', 'happy']","Hyderabad, India"
"['happy', 'day', 'avo']","Portland, Oregon"
"['dashing', 'happy', 'birthday']","Hyderabad, India"
"['happy', 'took', 'bait']",
['happy'],"Port Harcourt, Nigeria"
"['corona', 'canada', 'happy']",Switzerland
"['happy', 'new', 'week']","Lagos, Nigeria"
"['happy', 'day', 'positive']",Unfollowing for Spoilers
"['happy', 'friendship', 'day']","Bengaluru, India"
"['happy', 'article', 'vaccination']",New York
"['happy', 'ending', 'pregnancy']","San Franciso, CA"
"['quite', 'happy', 'import']",🏴󠁧󠁢󠁥󠁮󠁧󠁿 🇬🇧
"['happy', 'weekend', 'cat']",Online Website
"['happy', 'paper', 'myocarditis']",Paris
"['happy', 'bank', 'account']",
"['happy', 'zoom', 'chad']","Johannesburg, South Africa"
"['happy', 'zoom', 'chad']","62 Glenwood Rd, Pretoria 0081"
"['click', 'see', 'happy']",
"['click', 'see', 'happy']",
"['click', 'see', 'happy']",
"['click', 'see', 'happy']",
"['click', 'see', 'happy']",
"['click', 'see', 'happy']",
"['happy', 'contact', 'us']",
"['family', 'happy', 'bipolar']",Mumbai
"['dear', 'celebrate', 'happy']","Herndon, VA USA & Hyderabad In"
"['happy', 'times', 'f']","Park Rd, Islamabad, Islamabad "
"['happy', 'independence', 'day']","Dubai, United Arab Emirates"
"['everyone', 'happy', 'know']",
"['happy', 'hermit', 'anxiety']",Australia
"['happy', 'month', 'anniversary']","Stafford, England"
"['happy', 'covid', 'birthday']","Footscray, Melbourne"
"['happy', 'connect', 'us']",
"['happy', 'festival', 'love']",Vadodara
"['test', 'negative', 'happy']",Where my heart is
"['happy', 'visit', 'us']",Pune
"['happy', 'day', 'covid']",Pallikaranai Chennai
"['happy', 'festival', 'love']",Vadodara
"['happy', 'baby', 'dhoni']",
"['personally', 'happy', 'level', 'avoidable']",
"['happy', 'announce', 'food', 'call']","Chennai, India"
"['head', 'shame', 'visit', 'happy']","Sherborne, England"
"['happy', 'hear', 'organized', 'several']","Las Vegas, NV"
"['true', 'say', 'happy', 'discuss']","Houston, TX"
"['happy', 'birthday', 'act', 'asthma']",
"['happy', 'share', 'ambassador', 'message']","New Delhi, India"
"['happy', 'see', 'garden', 'organic']",canada
"['wishing', 'happy']","Croydon, South London"
"['bet', 'people', 'infected', 'happy']",Caprica
"['case', 'festival', 'happy', 'ya']","Karachi, Pakistan"
"['happy', 'get', 'discount', 'enjoy']","Abeokuta, Nigeria"
"['interested', 'happy', 'always', 'follow']",
"['yep', 'happy', 'knowledge', 'yoga']","LA, CA"
"['teens', 'get', 'transmit', 'happy']",NYC/Saratoga Springs/Kumasi/LG
"['happy', 'speed', 'chicken']","Nairobi, Kenya"
"['happy', 'happy', 'silent', 'condition']",Mumbai | Kolkata
"['happy', 'valley', 'lander', 'wy']",
"['wishing', 'happy', 'weekend', 'around']","Enugu, "
"['happy', 'day']","Johannesburg, South Africa"
"['happy', 'painted', 'high', 'coffee']",
"['hey', 'happy', 'handling', 'frown']",
"['happy', 'state', 'got', 'expansion']",South Carolina
"['happy', 'breathe', 'pulmonary', 'asthma']","Connecticut, USA"
"['better', 'die', 'happy', 'soul']",
"['wishing', 'happy', 'stay', 'safe']",Desiccated Princely State
"['first', 'choice', 'everyone', 'happy']",Alwar
"['happy', 'international', 'youth', 'day']",East Africa
"['happy', 'may', 'joyous', 'occasion']","Agra, India"
"['happy', 'fly', 'tested', 'positive']",
"['nothing', 'another', 'happy', 'customer']",London 
"['happy', 'see', 'wishing', 'best']",Odisha
"['happy', 'medical', 'employment']","Nairobi, Kenya"
"['happy', 'independence', 'day', 'kindergarten']",Cisaranten-Bandung
"['happy', 'wearing', 'mask', 'watch']",London
"['may', 'shower', 'success', 'happy']","Bengaluru, India"
"['happy', 'birthday', 'football', 'soccer']",Nigeria
"['first', 'choice', 'everyone', 'happy']",India
"['warm', 'may', 'lord', 'happy']","H-183, Sector-63, Noida-UP"
['happy'],"Ahmedabad, Gujarat"
"['happy', 'happy', 'best', 'top']","Rewari, Haryana"
"['happy', 'love', 'festival', 'happy']","Agra, India"
"['happy', 'love', 'happy', 'festival']",Vadodara
"['happy', 'help', 'follow']",
"['happy', 'help', 'us']","Karimnagar, India"
"['presume', 'happy', 'sign', 'blinded']","Auckland, New Zealand"
"['tennis', 'rocket', 'happy', 'birthday']","Hyderabad, India"
"['happy', 'new', 'state', 'governor', 'since']",Nigeria
"['avoid', 'social', 'gathering', 'happy', 'nana']",East Legon Ghana
"['share', 'happy', 'moment', 'blissful', 'weekend']","Enugu, Nigeria"
"['share', 'happy', 'moment', 'blissful', 'weekend']","Enugu, Nigeria"
"['streaming', 'free', 'enjoy', 'happy', 'steaming']",India
"['happy', 'people', 'today', 'opening', 'back']",
"['happy', 'going', 'spreading', 'march', 'take']", Australia 
"['happy', 'going', 'spreading', 'march', 'take']", Australia 
"['name', 'international', 'happy', 'news', 'coo']",South Africa
"['happy', 'say', 'today', 'gas', 'western']","Texas, USA"
"['happy', 'always', 'pray', 'world', 'fighting']",
"['achieve', 'happy', 'army', 'salute', 'respect']",
"['happy', 'share', 'hopefully', 'anyone', 'well']","Madison, WI"
