words,nltk_sentiment
"['current', 'situation', 'awareness', 'less', 'stress', 'facilitate']",negative
"['someone', 'affected', 'social', 'anxiety', 'wearing', 'face', 'mask', 'amazing', 'feel', 'slightly', 'hidden', 'fro']",positive
"['must', 'bad', 'times', 'order', 'appreciate', 'good', 'depression']",negative
"['anxiety', 'surrounding', 'bipolar', 'disease', 'flare', 'quite', 'badly', 'read']",negative
"['oh', 'yes', 'sure', 'perfectly', 'happy', 'distress']",positive
"['new', 'preprint', 'anxiety', 'risk', 'outbreak']",negative
"['last', 'used', 'running', 'singing', 'ways', 'reducing', 'anxiety', 'due', 'pandemic']",negative
"['people', 'living', 'continued', 'stress', 'economy', 'crisis', 'debt', 'loan', 'grant']",negative
"['happy', 'baseball', 'back', 'game', 'season', 'causing', 'major', 'fantasy', 'league', 'anxiety', 'r']",positive
"['new', 'article', 'mask', 'anxiety', 'please', 'share', 'help', 'struggling', 'anxiety', 'wearing', 'mask', 'mask']",positive
"['summertime', 'challenge', 'much', 'stress', 'self', 'care', 'extremely', 'important', 'think']",positive
"['blunt', 'u', 'happiness', 'one', 'u', 'smoke', 'u', 'make', 'come', 'back', 'wo']",positive
"['community', 'group', 'ladies', 'distribute', 'food', 'distressed']",negative
"['tweet', 'boring', 'know', 'boring', 'unemployment', 'theyre', 'damn', 'stressful']",negative
"['yoga', 'classes', 'helping', 'police', 'personnel', 'combat', 'stress', 'prevention']",negative
"['study', 'stress', 'motivation', 'exercise']",negative
"['depression', 'mental', 'health', 'cause', 'immune', 'response', 'affect', 'fight']",negative
"['welcome', 'world', 'mostly', 'stress', 'humiliation', 'universe']",negative
"['great', 'sadness', 'read', 'hope', 'offer', 'b']",positive
"['stay', 'fit', 'healthy', 'regular', 'meditation', 'home', 'drive', 'away', 'anxiety', 'stress']",positive
"['expressed', 'happiness', 'encouraging', 'result', 'year', 'woman', 'fro']",positive
"['video', 'post', 'may', 'wont', 'lose', 'economic', 'depression']",positive
"['study', 'stress', 'motivation', 'exercise']",negative
"['easy', 'ways', 'sleep', 'better', 'amid', 'mental', 'stress', 'due', 'pandemic', 'health']",positive
"['threat', 'community', 'lead', 'worry', 'fear', 'sadness', 'even']",negative
"['anxiety', 'insecurity', 'covid', 'times', 'pandemic']",negative
"['like', 'mistress', 'sort', 'divorce']",positive
"['strict', 'actually', 'add', 'anxiety', 'stress', 'manage']",negative
"['times', 'biggest', 'source', 'happiness', 'news']",positive
"['charcoal', 'refocus', 'anxiety', 'theyre', 'plus', 'taking']",negative
"['ink', 'help', 'refocus', 'anxiety', 'theyre', 'plus']",positive
"['discuss', 'impact', 'crisis', 'valuation', 'distressed', 'assets']",negative
"['latest', 'spin', 'fool', 'us', 'actually', 'supporting', 'sadness']",negative
"['time', 'high', 'stress', 'worry', 'tension', 'anger', 'rise']",negative
"['please', 'aware', 'reading', 'misinformation', 'cause', 'lot', 'distress', 'follow', 'five']",negative
"['expressed', 'happiness', 'encouraging', 'result', 'year', 'woman', 'fro']",positive
"['shopping', 'stress', 'busy', 'plan', 'choose', 'shop']",negative
"['actress', 'anxiety', 'pandemic']",negative
"['first', 'time', 'pregnant', 'midst', 'salute', 'cannot', 'imagine', 'anxiety']",positive
"['success', 'stress', 'via']",positive
"['pregnant', 'new', 'shocking', 'anxiety', 'depression', 'pandemic']",negative
"['happiness', 'journey']",positive
"['ready', 'talk', 'mass', 'anxiety', 'produced', 'pandemic']",positive
"['save', 'us', 'financial', 'distress', 'due', 'exorbitant', 'medical', 'two']",negative
"['global', 'pandemic', 'rise', 'stress', 'global', 'supply', 'therefore']",negative
"['know', 'speak', 'truth', 'pray', 'fight', 'depression']",negative
"['brought', 'much', 'stress', 'anxiety', 'fear', 'like', 'get', 'day']",negative
