text,ground_truth,predicted
alert federal push faster new global pandemic news,sad,positive
individual follow break transmission,sad,negative
hello subscribe channel new music,happy,positive
well whole world deal every,sad,negative
sen rep legislation allow trained maintain,hope,negative
video handled crisis click watch full,sad,negative
transform employ new ensure safety,happy,positive
today state action resilience mike,happy,negative
according fed extended pandemic learn,sad,negative
public attitude towards towards guest,happy,negative
speculation provincial election top doctor looking ways safely ho,hope,negative
excited spooky autumn leaves pumpkin spiced chai tea regardless status,hope,negative
people style contact tracing solution mass government surveillance,sad,negative
enrol covid insurance type send,sad,negative
advised buy pulse thermal scanner read,sad,negative
point still especially context god damn seem,sad,negative
live stand show zoom live front room,sad,negative
societal upheaval pandemic need new ai data,sad,positive
mark international youth day best approach engaging,happy,negative
frankly honest ad aged well opposite,hope,negative
hell wrong people permitted,sad,negative
tend much paranoid easily,sad,negative
reduce amount n respect national insurance,sad,negative
agility say sustainable critical new normal,sad,positive
latest adventurous thanks giveaway,happy,negative
data august august active,sad,negative
keep good work,happy,neutral
china huge sex marketing,hope,negative
thats whole thing might never get sick carrying,sad,negative
dying withheld association sur,sad,negative
another outbreak declared meat plant reach,sad,negative
done best canada finance minister following clash pol,hope,negative
,sad,neutral
hey suppress voting criminal already forcefully cond,sad,negative
acquisition latest de said,hope,negative
home similarly puja done home idol installation eve,sad,negative
shah saving misgovernance shame th,hope,negative
grab buy get free mold,hope,negative
socially mourning ceremony eve,sad,negative
crisis nearly child care may permanently lost call con,happy,negative
sandy bay clarendon community quarantine,happy,negative
allow us put mind ease receive quote,hope,negative
reminder self smile,sad,negative
update total active,sad,negative
san de en de de san,sad,negative
today hong world next,sad,negative
one thousand dying every day hoax president,happy,negative
looking establish fully efficient epidemic prevention mechanism tha,sad,negative
yes say know saying many state,sad,negative
new event twitter remove video trump campaign twit,sad,positive
turning away meat result crisis find,sad,negative
according investigation stated cause,hope,negative
pandemic illustrator art photography photographer,sad,negative
team foggy foggy couple times past,sad,negative
update tested new case,sad,positive
globe filled much beauty behave like said patriotic brave,sad,negative
spoke someone works position stated setting ready wave even thou,sad,negative
us make week plus lavish dont work,happy,negative
limited voting ensure safety polling open election day two,happy,negative
covid recovery live new providing health advice guidance links support,happy,positive
council south statement business usual simply inadequate tackle,sad,negative
single country fight alone existence anywhere,sad,negative
keep core business running minimal operational cost read,sad,negative
married account highest proportion suicidal aged,happy,negative
dont worry team eliminate kaha stay safe fam,happy,negative
morning reminder wear take away bit freedom every time,sad,negative
future first socially concert,happy,negative
